,solarRadiationHigh,humidityAvg,tempAvg,windspeedAvg,precipRate,precipTotal
2024-11-27 01:54:20,0.0,96,8,1,0.0,0.0
2024-11-27 01:59:49,0.0,96,8,0,0.0,0.0
2024-11-27 02:04:09,0.0,96,8,0,0.0,0.0
2024-11-27 02:09:39,0.0,96,8,0,0.0,0.0
2024-11-27 02:13:59,0.0,96,8,0,0.0,0.0
2024-11-27 02:19:25,0.0,96,8,1,0.0,0.0
2024-11-27 02:24:54,0.0,97,8,1,0.0,0.0
2024-11-27 02:29:14,0.0,97,8,1,0.0,0.0
2024-11-27 02:34:44,0.0,97,8,1,0.0,0.0
2024-11-27 02:39:04,0.0,97,8,1,0.0,0.0
2024-11-27 02:44:33,0.0,97,8,1,0.0,0.0
2024-11-27 02:49:59,0.0,97,8,0,0.0,0.0
2024-11-27 02:54:20,0.0,97,8,0,0.0,0.0
2024-11-27 02:59:49,0.0,96,8,0,0.0,0.0
2024-11-27 03:04:09,0.0,97,8,1,0.0,0.0
2024-11-27 03:09:39,0.0,97,8,1,0.0,0.0
2024-11-27 03:13:59,0.0,97,8,0,0.0,0.0
2024-11-27 03:19:25,0.0,97,8,0,0.0,0.0
2024-11-27 03:24:54,0.0,97,8,0,0.0,0.0
2024-11-27 03:29:14,0.0,97,8,0,0.0,0.0
2024-11-27 03:34:44,0.0,96,8,0,0.0,0.0
2024-11-27 03:39:04,0.0,96,8,0,0.0,0.0
2024-11-27 03:44:33,0.0,96,8,0,0.0,0.0
2024-11-27 03:49:59,0.0,96,8,0,0.0,0.0
2024-11-27 03:54:20,0.0,96,8,0,0.0,0.0
2024-11-27 03:59:49,0.0,96,8,0,0.0,0.0
2024-11-27 04:04:09,0.0,96,8,0,0.0,0.0
2024-11-27 04:09:39,0.0,96,8,0,0.0,0.0
2024-11-27 04:13:59,0.0,96,8,0,0.0,0.0
2024-11-27 04:19:25,0.0,96,8,0,0.0,0.0
2024-11-27 04:24:54,0.0,96,8,0,0.0,0.0
2024-11-27 04:29:14,0.0,96,8,0,0.0,0.0
2024-11-27 04:34:44,0.0,95,8,0,0.0,0.0
2024-11-27 04:39:04,0.0,95,8,0,0.0,0.0
2024-11-27 04:44:33,0.0,94,8,0,0.0,0.0
2024-11-27 04:49:59,0.0,94,8,0,0.0,0.0
2024-11-27 04:54:20,0.0,94,8,0,0.0,0.0
2024-11-27 04:59:49,0.0,94,8,0,0.0,0.0
2024-11-27 05:04:09,0.0,94,8,0,0.0,0.0
2024-11-27 05:09:39,0.0,94,8,0,0.0,0.0
